employee_id,system 32,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,FT/PT
8724,Technology,region_26,Bachelor's,m,sourcing,1,24,,1,1,0,77,FT
74430,HR,region_4,Bachelor's,f,other,1,31,3,5,0,0,51,FT
72255,Sales & Marketing,region_13,Bachelor's,m,other,1,31,1,4,0,0,47,FT
38562,Procurement,region_2,Bachelor's,f,other,3,31,2,9,0,0,65,FT
64486,Finance,region_29,Bachelor's,m,sourcing,1,30,4,7,0,0,61,FT
46232,Procurement,region_7,Bachelor's,m,sourcing,1,36,3,2,0,0,68,FT
54542,Finance,region_2,Bachelor's,m,other,1,33,5,3,1,0,57,FT
67269,Analytics,region_22,Bachelor's,m,sourcing,2,36,3,3,0,0,85,FT
66174,Technology,region_7,Master's & above,m,other,1,51,4,11,0,0,75,FT
76303,Technology,region_22,Bachelor's,m,sourcing,1,29,5,2,1,0,76,FT
60245,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,40,5,12,1,0,50,FT
42639,Sales & Marketing,region_17,Master's & above,m,sourcing,1,40,3,10,0,0,46,FT
30963,Sales & Marketing,region_4,Master's & above,f,other,1,34,3,4,0,0,52,FT
54055,Analytics,region_24,Bachelor's,gender,other,1,37,3,10,0,0,82,FT
42996,Operations,region_11,Bachelor's,J,sourcing,1,30,5,6,1,0,58,FT
12737,Sales & Marketing,region_7,Bachelor's,JJHGFHG,sourcing,1,31,4,4,1,0,47,FT
27561,Operations,region_27,Bachelor's,f,sourcing,1,26,5,3,0,0,56,FT
26622,Sales & Marketing,region_17,Bachelor's,m,sourcing,1,40,5,6,1,0,50,FT
31582,Procurement,region_7,Bachelor's,f,other,1,49,3,7,1,0,64,FT
29793,Procurement,region_27,Bachelor's,m,other,1,27,2,5,0,0,65,FT
72735,Sales & Marketing,region_9,Master's & above,m,sourcing,1,37,5,3,0,0,47,FT
5677,Technology,region_17,Bachelor's,m,sourcing,1,25,,1,0,0,80,FT
60889,Technology,region_29,Master's & above,m,sourcing,1,30,1,3,0,0,83,FT
51498,Procurement,region_4,Master's & above,m,other,1,41,3,4,0,0,76,FT
8566,Finance,region_20,Bachelor's,f,other,1,29,4,6,1,0,58,FT
53151,Operations,region_20,Bachelor's,m,other,1,33,3,7,1,1,62,FT
16203,Sales & Marketing,region_17,Master's & above,m,sourcing,1,34,4,6,1,0,50,FT
61083,Analytics,region_13,Bachelor's,m,sourcing,1,34,3,3,1,0,87,FT
74849,Operations,region_22,Bachelor's,m,other,1,52,1,10,0,0,61,FT
13259,Sales & Marketing,region_34,Bachelor's,m,sourcing,1,30,2,3,0,0,50,FT
72407,Analytics,region_2,Master's & above,m,sourcing,2,34,4,7,0,0,87,FT
65237,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,43,1,14,0,0,52,FT
67672,Technology,region_17,Bachelor's,m,other,1,29,,1,1,0,85,FT
77460,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,35,3,3,1,0,52,FT
67317,Technology,region_22,Master's & above,m,other,4,40,3,12,0,0,77,FT
68788,Technology,region_23,Bachelor's,m,sourcing,2,33,4,9,0,0,83,FT
36834,Sales & Marketing,region_8,Master's & above,m,other,1,30,3,2,1,0,55,FT
64281,Sales & Marketing,region_14,Bachelor's,f,sourcing,2,42,1,3,1,0,46,FT
1822,Sales & Marketing,region_22,Bachelor's,m,sourcing,3,29,1,3,0,0,51,FT
55325,Analytics,region_22,Bachelor's,m,other,1,25,,1,0,0,88,FT
41432,Analytics,region_26,Bachelor's,m,sourcing,1,26,5,4,1,0,90,FT
52061,Sales & Marketing,region_31,Bachelor's,m,other,1,27,2,3,0,0,52,FT
